error_code,feature,error_description,error_cause,error_response,error_url
ADMIN-CANNOTCHANGEPORT,ADMIN,Cannot change port of remote host,,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-CANNOTCHANGEPORT
ADMIN-CANNOTRETIRE,ADMIN,Forest variable1 is variable2.,Forests that are read-only or offline cannot be retired.,Forests that are read-only or offline cannot be retired. Select a different forest.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-CANNOTRETIRE
ADMIN-CLUSTERUNIQ,ADMIN,Foreign Cluster IDs have to be unique.,Tried to couple a foreign cluster which is already coupled.,Decouple the foreign cluster before coupling with it again.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-CLUSTERUNIQ
ADMIN-CONFIGNOTSAVED,ADMIN,Configuration must be saved before variable1,Configuration is not saved.,Save configuration prior to the error point.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-CONFIGNOTSAVED
ADMIN-CONFLICTFAILOVER,ADMIN,Cannot configure both failover hosts and forest replicas on the same forest,Tried to enable local disk and shared disk failover on the same forest.,MarkLogic does not support local disk failover and shared disk failover simultaneously on the same forest. You must choose only one of the two options.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-CONFLICTFAILOVER
ADMIN-CONFLICTINGELEMENTS,ADMIN,Cannot have included and excluded elements with same QName and attribute constraints,Cannot have included and excluded elements with same QName and attribute constraints.,"An element with attribute constraint can be included or excluded; but not both.",https://docs.marklogic.com/messages/ADMIN-en/ADMIN-CONFLICTINGELEMENTS
ADMIN-DATABASEDUPREPLICA,ADMIN,Database has duplicate foreign replica databases: variable1,Local master database might have already been attached to the foreign replica database that you are trying to attach to.,Remove database replication configuration on both master and replica.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-DATABASEDUPREPLICA
ADMIN-DATABASEFORESTATTACHED,ADMIN,Forest variable1 is attached to a database,Attempted to attach to a different database a forest that is already attached to a database.,Look in the Admin UI to see what database has the forest attached and take appropriate actions.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-DATABASEFORESTATTACHED
ADMIN-DATABASEFORESTNOTATTACHED,ADMIN,Forest variable1 is not attached to database variable2,,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-DATABASEFORESTNOTATTACHED
ADMIN-DATABASEINUSE,ADMIN,variable1,Attempted to delete a database that has in-flight transactions.,"Wait for the in-flight transactions to finish; then retry.",https://docs.marklogic.com/messages/ADMIN-en/ADMIN-DATABASEINUSE
ADMIN-DATABASEMASTERANDREPLICA,ADMIN,Cannot configure database as both master and replica: variable1,Cannot configure database as both master and replica.,Configure database as either a master or a replica.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-DATABASEMASTERANDREPLICA
ADMIN-DBNOTQUERYPOLICY,ADMIN,"Assignment policy is not a query policy; on database: variable1",The assignment policy on the database is not a query policy.,Check your database configuration and make sure it uses the query policy before calling this function.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-DBNOTQUERYPOLICY
ADMIN-DBNOTRANGEPOLICY,ADMIN,"Assignment policy is not a range policy; on database: variable1",The assignment policy on the database is not a range policy.,Check your database configuration and make sure it uses the range policy before calling this function.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-DBNOTRANGEPOLICY
ADMIN-DBREPLAGLIMIT,ADMIN,Database replication lag limit must be at least 5 seconds: variable1,Tried to set the lag limit for database replication to any value less than 5.,Set the lag limit on database replication to at least 5,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-DBREPLAGLIMIT
ADMIN-DBREPQUEUESIZE,ADMIN,Database replication queue size must be in the range 1:1000: variable1,Tried to set the queue size for database replication to an invalid value.,Set the queue size for database replication to a value in the range 1:1000,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-DBREPQUEUESIZE
ADMIN-DBREPSCHEMADBSAMEASDB,ADMIN,Cannot setup replication for a database (variable1) whose schema database is itself.,Tried to setup database replication for a database whose schema database is itself.,Do not attempt to setup database replication for a database whose schema database is itself.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-DBREPSCHEMADBSAMEASDB
ADMIN-DELETEMASTERTOO,ADMIN,Cannot delete replica forest variable1 unless it is detached from its master,Cannot delete a replica forest unless it is detached from its master.,Detach the replica forest from its master and try again.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-DELETEMASTERTOO
ADMIN-DELETEREPLICATOO,ADMIN,Cannot delete forest variable1 unless replica forest variable2 is detached or also deleted,Cannot delete forest unless its replica forest variable2 is detached or also deleted.,Detach or delete replica forest.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-DELETEREPLICATOO
ADMIN-DEPENDINGSCHEDULEDTASKS,ADMIN,There are depend tasks on the host or the associated group. Delete those first before moving host variable1 to a new group.,Tried to move a host from one group to another without first deleting that host's existing schedule tasks.,Delete the scheduled tasks on a host before you change the group on that host.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-DEPENDINGSCHEDULEDTASKS
ADMIN-DUPLICATECONFIGITEM,ADMIN,Database resource 'variable2' already contains 'variable1',Config item already exists.,"Check that this was really the item you wanted to duplicate; otherwise do not duplicate it in the configuration.",https://docs.marklogic.com/messages/ADMIN-en/ADMIN-DUPLICATECONFIGITEM
ADMIN-DUPLICATEITEM,ADMIN,variable1 already exists,Item already exists.,Item already exists.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-DUPLICATEITEM
ADMIN-DUPLICATENAME,ADMIN,variable1 already exists,Name already exists.,Use a different name.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-DUPLICATENAME
ADMIN-DUPLICATESCHEDULEDTASKIDS,ADMIN,Duplicate scheduled task ids.: %s,Tried to configure a group with multiple scheduled tasks with the same ID.,Do not try to add the same task more than once.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-DUPLICATESCHEDULEDTASKIDS
ADMIN-EMPTYEXTERNALSECURITY,ADMIN,"If internal security is disabled; an external security must be specified.",Both internal security and external security are not set,Either enable internal security or specify an external security.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-EMPTYEXTERNALSECURITY
ADMIN-EMPTYNSPREFIX,ADMIN,Namespace prefix must not be empty.,Namespace prefix must not be empty.,Empty ns prefix is not allowed. Use a non-empty prefix.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-EMPTYNSPREFIX
ADMIN-EMPTYNSURI,ADMIN,Namespace uri must not be empty.,Namespace uri must not be empty.,Empty ns uri is not allowed. Use a legal uri.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-EMPTYNSURI
ADMIN-EMPTYPATH,ADMIN,Empty path on a field is not allowed.,One or more of the index paths are empty strings.,Make sure that all index paths are valid indexable paths.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-EMPTYPATH
ADMIN-ENCRYPTIONDISABLED,ADMIN,One or more encryption key IDs are invalid or do not exist in the Keystore Management System. variable1,Cannot validate the key encryption key provided,Verify your key encryption keys and try again,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-ENCRYPTIONDISABLED
ADMIN-FAILOVERANDBREP,ADMIN,Forest variable1 is attached to a database which is enabled for database replication. Both can't be configured at the same time.,Tried to configure a forest for failover when the same forest is already configured for database replication.,You can release the forest from database replication configuration or use a different forest for failover. You cannot use the same forest for both of these.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-FAILOVERANDBREP
ADMIN-FAILOVERANDFORESTOVERRIDE,ADMIN,Forest variable1 has a forest override and can not be configured for shared disk fail-over.,Tried to enable shared disk failover on a forest already configured for DB replication.,MarkLogic does not support DB replication combined with shared disk failover at this time. Try using local disk failover with DB replication.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-FAILOVERANDFORESTOVERRIDE
ADMIN-FIPSANDTLS,ADMIN,"When fips is enabled; ""xdqp ssl allow tls"" cannot be set to false.",,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-FIPSANDTLS
ADMIN-FOREIGNCLUSTERDEPENDENCIES,ADMIN,Foreign cluster variable1 can not be deleted as there are database replication dependencies. Delete replication settings for foreign replica and foreign master databases first.,There might be an existing database replication configuration with the foreign database being in the cluster you are trying to delete.,Delete database replication with all the databases which are in the foreign cluster that you want to delete.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-FOREIGNCLUSTERDEPENDENCIES
ADMIN-FOREIGNDATABASESDEPENDENCIES,ADMIN,Foreign cluster variable1 can not be deleted as there are foreign database dependencies. Delete foreign databases for this cluster first.,Foreign cluster has foreign database dependencies.,Delete the foreign databases dependencies for this cluster then try again.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-FOREIGNDATABASESDEPENDENCIES
ADMIN-FOREIGNDBEXISTS,ADMIN,Foreign db already exists variable1,The foreign db is already in this database.,Correct your code so that you don't re-add the foreign db.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-FOREIGNDBEXISTS
ADMIN-FOREIGNDBITSELF,ADMIN,Cannot add itself as foreign db variable1,A database tries to add itself as its foreign database.,Choose a database in a different cluster to be the foreign database.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-FOREIGNDBITSELF
ADMIN-FOREIGNMASTERDEPENDENCIES,ADMIN,Foreign master configuration can not be deleted for database variable1 as there are forest overrides. Delete foreign master forest overrides first.,Foreign master configuration can not be deleted for the database as there are forest overrides.,Delete foreign master forest overrides and try again.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-FOREIGNMASTERDEPENDENCIES
ADMIN-FOREIGNMASTERINVALIDCLUSTERID,ADMIN,Invalid foreign cluster id variable1 specified in foreign master configuration. Cluster is unknown.,Cannot find foreign cluster by that id.,Check foreign cluster id for misspelling and that the cluster was created and try again.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-FOREIGNMASTERINVALIDCLUSTERID
ADMIN-FOREIGNMASTERNODBSETTINGS,ADMIN,No foreign master settings for database variable1 configured.,,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-FOREIGNMASTERNODBSETTINGS
ADMIN-FOREIGNMASTERWRONGDATABASEID,ADMIN,Invalid foreign database id. Foreign database for forest override should be variable1.,,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-FOREIGNMASTERWRONGDATABASEID
ADMIN-FOREIGNREPICAINVALID,ADMIN,Can not override forest mapping. Check database replication settings on the database level. Verify foreign database id and foreign cluster id.,,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-FOREIGNREPICAINVALID
ADMIN-FOREIGNREPLICADEPENDENCIES,ADMIN,Foreign replica configuration can not be deleted for database variable1 as there are forest overrides. Delete foreign replica forest overrides first.,"When you configure database replication; you can either let the forests map by their names or hand pick the forests on the master and replica and map them. The latter method is nothing but configuring forest overrides. This error is seen when you configure database replication with forest overrides and later try to remove the database replication configuration without removing the forest mapping.","Remove the forest overrides; i.e. remove mappings between master and replica forests that were hand-picked while configuring; and then try to remove database replication configuration again.",https://docs.marklogic.com/messages/ADMIN-en/ADMIN-FOREIGNREPLICADEPENDENCIES
ADMIN-FOREIGNREPLICAINVALIDCLUSTERID,ADMIN,At least one invalid cluster id specified in foreign replica configuration. Cluster variable1 is unknown.,"The cluster id you have provided for the foreign replica database is not recognized; possibly because the local and remote clusters are not coupled yet.",Check whether the foreign cluster is coupled with the local cluster and try again.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-FOREIGNREPLICAINVALIDCLUSTERID
ADMIN-FORESTDISABLED,ADMIN,Forest variable1 is currently disabled,,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-FORESTDISABLED
ADMIN-FORESTDUPREPLICA,ADMIN,Forest has duplicate foreign replica database forests: variable1,,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-FORESTDUPREPLICA
ADMIN-FORESTHASOVERRIDE,ADMIN,Forest variable1 has manual forest override for database replication. First delete foreign replicas or foreign master settings for this forest.,,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-FORESTHASOVERRIDE
ADMIN-FORESTMASTERANDREPLICA,ADMIN,Cannot configure forest as both master and replica: variable1,,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-FORESTMASTERANDREPLICA
ADMIN-FORESTNOTATTACHED,ADMIN,Forest variable1 is not attached to a database.,,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-FORESTNOTATTACHED
ADMIN-FORESTOFFLINE,ADMIN,Forest variable1 is currently offline,,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-FORESTOFFLINE
ADMIN-FORESTSNOTMATCH,ADMIN,The number of forests doesn't match what the database currently has.,The number of forests passed in doesn't match the number of forests the database currently has.,Correct your code.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-FORESTSNOTMATCH
ADMIN-FORESTUNMOUNTED,ADMIN,Forest variable1 is currently unmounted,,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-FORESTUNMOUNTED
ADMIN-ILLEGALNSPREFIX,ADMIN,"Namespace prefix ""xml"" is reserved; Try different prefix.","Namespace prefix ""xml"" is reserved. It cannot be re-defined.","""xml"" is a reserved namespace prefix. Try different prefix.",https://docs.marklogic.com/messages/ADMIN-en/ADMIN-ILLEGALNSPREFIX
ADMIN-INVALIDAUTHENTICATION,ADMIN,"If an external security is specified; authentication must be either application-level; basic; certificate or kerberos-ticket.",,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-INVALIDAUTHENTICATION
ADMIN-INVALIDBACKGROUNDIOLIMIT,ADMIN,Invalid background IO limit: variable1,Attempted to set an invalid background IO limit for a host,Choose a valid background IO limit.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-INVALIDBACKGROUNDIOLIMIT
ADMIN-INVALIDCONFIG,ADMIN,Invalid configuration: variable1,Attempted to save a configuration with invalid structure or elements.,Examine the configuration to find invalid elements. Consider using functions that create the elements you are trying to add.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-INVALIDCONFIG
ADMIN-INVALIDDBREPDELETE,ADMIN,Deleting database replication configuration failed related to mismatch of foreign-replica elements.,,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-INVALIDDBREPDELETE
ADMIN-INVALIDDBREPTYPE,ADMIN,Invalid database-replication type.,,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-INVALIDDBREPTYPE
ADMIN-INVALIDFAILOVERHOST,ADMIN,The primary and failover host can not be identical for forest variable1.,Tried to use same d-node as both primary and failover host for a shared disk failover enabled forest.,"When you enable shared disk failover on a forest; the primary and failover hosts need to be different d-nodes in the cluster.",https://docs.marklogic.com/messages/ADMIN-en/ADMIN-INVALIDFAILOVERHOST
ADMIN-INVALIDFIELDNAME,ADMIN,Field name cannot be empty,User has defined a field with an empty field name.,Add a field name to the field definition.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-INVALIDFIELDNAME
ADMIN-INVALIDHOST,ADMIN,Host id is not valid,Invalid host id.,Check host id for misspellings and that it was created and try again.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-INVALIDHOST
ADMIN-INVALIDKEYID,ADMIN,"Key with ID ""variable1"" does not exist in the Keystore Management System or cannot be used. variable2",,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-INVALIDKEYID
ADMIN-INVALIDKEYSTORECONFIG,ADMIN,The Keystore configuration is incorrect,There was an error while initializing the keystore,Look at the logs for details on the error,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-INVALIDKEYSTORECONFIG
ADMIN-INVALIDPERIODNAME,ADMIN,Period name cannot be empty,User has defined a period with an empty period name.,Add an period name to the period definition.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-INVALIDPERIODNAME
ADMIN-INVALIDPORT,ADMIN,Port variable1 is not valid or bindable,Port is invalid or not bindable.,Check port for correct number and bindable status and try again.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-INVALIDPORT
ADMIN-INVALIDPROTOCOL,ADMIN,"Invalid Protocol: variable1. It must be either SSLv3; TLSv1; TSLv1_1 or TLSv1_2.",,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-INVALIDPROTOCOL
ADMIN-JAPASSPHRASENOTALLOWED,ADMIN,A backup passphrase cannot be used in combination with journal archiving,Journal archiving is set to true and passphrase is not empty,Remove the passphrase or journal archiving option,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-JAPASSPHRASENOTALLOWED
ADMIN-JOURNALARCHIVEAUXDB,ADMIN,Cannot specify auxiliary databases when enabling journal archiving.,"Error occurs when you do a scheduled backup using admin apis; and you pass true as the value for both auxiliary databases and journal archiving.","When doing a scheduled backup; select either journal archiving or auxiliary database as true; not both.",https://docs.marklogic.com/messages/ADMIN-en/ADMIN-JOURNALARCHIVEAUXDB
ADMIN-KERBEROSAUTHENTICATION,ADMIN,"If authentication is kerberos-ticket; the protocol in external security must be kerberos.",,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-KERBEROSAUTHENTICATION
ADMIN-KERBEROSTICKET,ADMIN,"If authentication is kerberos-ticket; internal security must be disabled.",,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-KERBEROSTICKET
ADMIN-LICKEYREPL,ADMIN,License key not valid for replication for host variable1,The license key you are using with the server is not valid to use for the database replication feature.,Get a valid license and update the server with the new license key.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-LICKEYREPL
ADMIN-LOCALASFOREIGN,ADMIN,Local cluster ( variable1 ) can't be a foreign cluster.,Tried to couple local cluster with itself.,Check the hostname you provided while coupling the cluster. It should not be a host on the same cluster.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-LOCALASFOREIGN
ADMIN-MINVERSIONREQUIRED,ADMIN,variable1 cannot be used until the cluster is upgraded to effective version variable2.,The cluster has not been upgraded,Complete the upgrade process,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-MINVERSIONREQUIRED
ADMIN-NOBOOTSTRAPHOSTCONFIGURED,ADMIN,No bootstrap host configured on this cluster.,,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-NOBOOTSTRAPHOSTCONFIGURED
ADMIN-NOBOOTSTRAPHOSTONLINE,ADMIN,No bootstrap host online.,No bootstrap host online.,"Check bootstrap host for being online; its id for misspellings; and that it was created and try again.",https://docs.marklogic.com/messages/ADMIN-en/ADMIN-NOBOOTSTRAPHOSTONLINE
ADMIN-NOFOREIGNCLUSTER,ADMIN,No foreign cluster with name variable1 found.,Could not find a foreign cluster with that name.,Check foreign cluster for misspelling and that it was created and try again.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-NOFOREIGNCLUSTER
ADMIN-NOFOREIGNDB,ADMIN,No foreign db variable1,Foreign db does not exist.,"Check for existence of foreign db (spelling; creation; etc.) and try again.",https://docs.marklogic.com/messages/ADMIN-en/ADMIN-NOFOREIGNDB
ADMIN-NOFOREIGNREPLICA,ADMIN,No foreign replica database for database variable1 configured.,"Tried to access foreign replica database attached to local master database; such as trying to delete the foreign replica.",Remove stale database replication configuration (if any) and re-attach the foreign replica database.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-NOFOREIGNREPLICA
ADMIN-NONEMPTYGROUP,ADMIN,Group variable1 must have no assigned hosts before deleting,,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-NONEMPTYGROUP
ADMIN-NOREPLCHAIN,ADMIN,Replicas may not be chained: variable1,,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-NOREPLCHAIN
ADMIN-NOSUCHAPPSERVER,ADMIN,No such appserver variable1,Appserver does not exist.,Check appserver for misspellings and that it was created and try again.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-NOSUCHAPPSERVER
ADMIN-NOSUCHDATABASE,ADMIN,No such database variable1,Database does not exist.,Check database for misspellings and that it was created and try again.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-NOSUCHDATABASE
ADMIN-NOSUCHEXTERNALSECURITY,ADMIN,No such external security variable1,External security does not exist,Check external security and try again.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-NOSUCHEXTERNALSECURITY
ADMIN-NOSUCHFIELD,ADMIN,No such database field variable1,Database field does not exist.,Check database field name for misspelling and that it was created in the database and try again.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-NOSUCHFIELD
ADMIN-NOSUCHFOREIGNCLUSTER,ADMIN,No such foreign cluster variable1,Foreign cluster does not exist.,Check foreign cluster for misspelling and that it was created and try again.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-NOSUCHFOREIGNCLUSTER
ADMIN-NOSUCHFOREST,ADMIN,No such forest variable1,Forest does not exist.,Check forest name for misspelling and that it was created and try again.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-NOSUCHFOREST
ADMIN-NOSUCHGROUP,ADMIN,No such group variable1,Group does not exist.,Check group and try again.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-NOSUCHGROUP
ADMIN-NOSUCHHOST,ADMIN,No such host variable1,Host does not exist.,Check host name for misspelling and that it was created and try again.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-NOSUCHHOST
ADMIN-NOSUCHITEM,ADMIN,variable1 does not exist: variable2,Item does not exist.,Check item for misspelling and that it was created and try again.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-NOSUCHITEM
ADMIN-NOSUCHPERIOD,ADMIN,No such database period variable1,Database period does not exist.,Check database period id for misspelling and that it was created in the database and try again.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-NOSUCHPERIOD
ADMIN-NOSUCHPRIVILEGE,ADMIN,No such privilege variable1,Privilege does not exist.,Check privilege for misspelling and that it was created and try again.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-NOSUCHPRIVILEGE
ADMIN-NOSUCHUSER,ADMIN,No such user variable1,User does not exist,Check user and try again.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-NOSUCHUSER
ADMIN-NOTRANGEPOLICY,ADMIN,The assignment policy passed in is not a range policy.,The assignment policy passed in is not a range policy.,Correct your code so that you only pass in a range assignment policy to this function.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-NOTRANGEPOLICY
ADMIN-NOTREPLICA,ADMIN,Forest variable1 is not a replica,This forest is not a replica.,Retry operation on a replica forest.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-NOTREPLICA
ADMIN-NOTRIGGERDB,ADMIN,No triggers database,,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-NOTRIGGERDB
ADMIN-PATHFIELDNOPATHS,ADMIN,Invalid field change: Illegal to delete all paths on the field variable1.,A path field must have at least one field-path.,Do not delete all the field-paths on the path field.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-PATHFIELDNOPATHS
ADMIN-PATHNAMESPACEINUSE,ADMIN,In-use database path namespaces cannot be deleted.: variable1,One or more of the path namespaces that are being deleted are in use in some index path expressions.,Make sure that only those path namespaces are being deleted that are not in use by any path index.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-PATHNAMESPACEINUSE
ADMIN-PORTINUSE,ADMIN,Port is currently in use,Port is currently in use.,Try a different port.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-PORTINUSE
ADMIN-PRIVATEFOREST,ADMIN,Forest variable1 is private and cannot change hosts,Tried to change primary host of a private forest.,Primary host can be changed only for public forests. You need to convert a private forest to public forest before you can change the primary host. Refer to the Failover guide for instructions on how to do this.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-PRIVATEFOREST
ADMIN-REDEFINEDNSPREFIX,ADMIN,Namespace prefix must not be bound to two different uris.,Namespace prefix is already bound to another uri.,Namespace prefix cannot be bound to two different uris. Use a different prefix or delete the earlier definition.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-REDEFINEDNSPREFIX
ADMIN-REDUNDANTOVERRIDE,ADMIN,Redundant tokenizer override: variable1 is already in class variable2,The override character is already in the given class.,Do not add the override; it is not necessary.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-REDUNDANTOVERRIDE
ADMIN-REPLICAFORESTSAMEHOST,ADMIN,Replica forest may not be on the same host as its master: variable1 variable2,Replica forest may not be on the same host as its master.,Move replica forest to a different host than its master.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-REPLICAFORESTSAMEHOST
ADMIN-SOMEFORESTSRETIRED,ADMIN,Cannot reorder the forests when some of them are retired.,Some forests in the database are marked as retired.,Detach those retired forests or correct your code.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-SOMEFORESTSRETIRED
ADMIN-SSLV3ORTLS,ADMIN,"both ""xdqp ssl allow sslv3"" and ""xdqp ssl allow tls"" cannot be set to false.",,,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-SSLV3ORTLS
ADMIN-SWITCHTASKUSER,ADMIN,Not permitted to switch task user: variable1,Tried to set task user as another user without privilege,Use current user as task user or obtain privilege,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-SWITCHTASKUSER
ALERT-BADCONFIG,ALERT,variable1 parameter is missing for configuration,,,https://docs.marklogic.com/messages/ALERT-en/ALERT-BADCONFIG
